SA,SRR,ORIG,REP,T
sa269,SRR7134245,X6,6.0,4
sa270,SRR7134246,X6,6.0,3
sa271,SRR7134255,X8,4.0,11
sa272,SRR7134256,X7,4.0,11
sa273,SRR7134257,X6,2.0,9
sa274,SRR7134258,X6,2.0,8
sa275,SRR7134259,X9,4.0,10
sa276,SRR7134260,X8,4.0,10
sa277,SRR7134261,X11,4.0,10
sa278,SRR7134262,X10,4.0,10
sa279,SRR7134263,X1,4.0,11
sa280,SRR7134264,X12,4.0,10
sa281,SRR7134265,X5,4.0,11
sa282,SRR7134266,X3,4.0,11
sa283,SRR7134267,X6,3.0,2
sa284,SRR7134268,X6,3.0,1
sa285,SRR7134269,X6,8.0,11
sa286,SRR7134270,X2,7.0,8
sa287,SRR7134271,X2,7.0,9
sa288,SRR7134272,X2,7.0,2
sa289,SRR7134273,X2,7.0,3
sa290,SRR7134274,X2,6.0,11
sa291,SRR7134275,X2,7.0,1
sa292,SRR7134276,X2,7.0,6
sa293,SRR7134277,X2,7.0,7
sa294,SRR7134278,X2,7.0,4
sa295,SRR7134279,X2,7.0,5
sa296,SRR7134280,X6,3.0,3
sa297,SRR7134291,X6,5.0,6
sa298,SRR7134292,X6,5.0,7
sa299,SRR7134293,X6,5.0,8
sa300,SRR7134294,X6,5.0,9
sa301,SRR7134295,X6,5.0,10
sa302,SRR7134296,X6,5.0,11
sa303,SRR7134297,X9,4.0,4
sa304,SRR7134298,X8,4.0,4
sa305,SRR7134299,X1,4.0,5
sa306,SRR7134310,X4,4.0,5
sa307,SRR7134311,X3,4.0,5
sa308,SRR7134312,X4,4.0,7
sa309,SRR7134313,X5,4.0,7
sa310,SRR7134314,X1,4.0,7
sa311,SRR7134315,X3,4.0,7
sa312,SRR7134316,X4,7.0,12
sa313,SRR7134317,X3,7.0,12
sa314,SRR7134318,X7,4.0,7
sa315,SRR7134319,X8,4.0,7
sa316,SRR7134320,X12,6.0,12
sa317,SRR7134321,X11,6.0,12
sa318,SRR7134322,X2,7.0,12
sa319,SRR7134323,X1,7.0,12
sa320,SRR7134324,X8,6.0,12
sa321,SRR7134325,X7,6.0,12
sa322,SRR7134326,X10,6.0,12
sa323,SRR7134327,X9,6.0,12
sa324,SRR7134328,X5,4.0,6
sa325,SRR7134329,X4,4.0,6
sa326,SRR7134330,X8,4.0,6
sa327,SRR7134331,X6,4.0,3
sa328,SRR7134332,X6,4.0,4
sa329,SRR7134333,X6,4.0,1
sa330,SRR7134334,X6,4.0,2
sa331,SRR7134335,X6,3.0,10
sa332,SRR7134336,X6,3.0,11
sa333,SRR7134337,X6,3.0,8
sa334,SRR7134338,X6,3.0,9
sa335,SRR7134339,X6,3.0,6
sa336,SRR7134340,X6,3.0,7
sa337,SRR7134351,X6,0,0
sa338,SRR7134352,X4,4.0,4
sa339,SRR7134353,X12,0,0
sa340,SRR7134354,X2,2.0,11
sa341,SRR7134355,X2,2.0,10
sa342,SRR7134356,X2,3.0,1
sa343,SRR7134357,X2,8.0,11
sa344,SRR7134358,X2,2.0,7
sa345,SRR7134359,X2,2.0,6
sa346,SRR7134360,X2,2.0,9
sa347,SRR7134361,X2,2.0,8
sa348,SRR7134362,X2,3.0,3
sa349,SRR7134363,X2,3.0,2
sa350,SRR7134368,X2,1.0,12
sa351,SRR7134369,X1,1.0,12
sa352,SRR7134370,X4,1.0,12
sa353,SRR7134371,X3,1.0,12
sa354,SRR7134372,X6,1.0,12
sa355,SRR7134373,X5,1.0,12
sa356,SRR7134374,X4,3.0,12
sa357,SRR7134375,X3,3.0,12
sa358,SRR7134376,X6,3.0,12
sa359,SRR7134377,X5,3.0,12
sa360,SRR7134378,X8,3.0,12
sa361,SRR7134379,X7,3.0,12
sa362,SRR7134380,X10,3.0,12
sa363,SRR7134381,X9,3.0,12
sa364,SRR7134382,X12,3.0,12
sa365,SRR7134383,X11,3.0,12
sa366,SRR7134384,X6,4.0,10
sa367,SRR7134385,X6,4.0,9
sa368,SRR7134386,X6,7.0,4
sa369,SRR7134387,X6,7.0,5
sa370,SRR7134388,X6,7.0,2
sa371,SRR7134389,X6,7.0,3
sa372,SRR7134390,X6,7.0,8
sa373,SRR7134391,X6,7.0,9
sa374,SRR7134392,X6,7.0,6
sa375,SRR7134393,X6,7.0,7
sa376,SRR7134394,X4,4.0,3
